_idx,major_sigma,minor_sigma,position_angle,rad
1,0.02645096,0.009829875,169.0956733,4.3
2,0.042421993,0.027261216,-167.6093533,8.7
3,0.020831891,0.005659255,173.0560869,2.7
4,0.023747707,0.010305772,-150.5666158,4.6
4,0.023747707,0.010305772,-150.5666158,4.6
5,0.011519529,0.004421141,167.2449998,2
6,0.037680116,0.011706452,-175.6349221,5.6
6,0.037680116,0.011706452,-175.6349221,5.6
7,0.014741912,0.007124793,122.8857362,2.4
7,0.014741912,0.007124793,122.8857362,2.4
8,0.010416911,0.004724533,-162.6472607,2
8,0.010416911,0.004724533,-162.6472607,2
8,0.010416911,0.004724533,-162.6472607,2
9,0.023505779,0.011436573,166.3481656,5
10,0.013592502,0.006571475,167.8303257,2.7
11,0.014865354,0.012991802,144.4337995,3.4
11,0.014865354,0.012991802,144.4337995,3.4
11,0.014865354,0.012991802,144.4337995,3.4
12,0.014425589,0.006225332,-166.7257363,2.7
13,0.008632126,0.004892542,175.3905706,1.9
14,0.007425179,0.004558344,176.0154123,1.7
15,0.02211853,0.009131959,147.2007877,4
16,0.009118319,0.003327657,-162.1804353,1.6
16,0.009118319,0.003327657,-162.1804353,1.6
17,0.016415039,0.006244559,136.8679913,3.1
17,0.016415039,0.006244559,136.8679913,3.1
17,0.016415039,0.006244559,136.8679913,3.1
18,0.013903484,0.008964043,102.8500453,3.2
19,0.011425622,0.006875315,132.9926782,2.6
20,0.028022333,0.012183637,172.6054672,4.7
21,0.00850138,0.004211771,116.522305,1.7
21,0.00850138,0.004211771,116.522305,1.7
22,0.01132531,0.007591757,74.49489053,2.9
23,0.015735985,0.01242936,147.3995858,4.1
24,0.005080417,0.004548975,-135.313517,1.4
25,0.024755429,0.013472899,144.3892927,5.8
26,0.040030643,0.012820735,140.4346159,5.7
26,0.040030643,0.012820735,140.4346159,5.7
27,0.027147156,0.025350305,117.9543143,6.4
28,0.037606796,0.016944839,-159.9759611,6.8
28,0.037606796,0.016944839,-159.9759611,6.8
28,0.037606796,0.016944839,-159.9759611,6.8
29,0.039690344,0.029861817,175.8508804,8.5
29,0.039690344,0.029861817,175.8508804,8.5
30,0.017423072,0.01013679,98.68158072,3.8
30,0.017423072,0.01013679,98.68158072,3.8
31,0.016639625,0.009791107,53.27427323,3.7
